,name,sex,count,syllables,consonants,ratio
1,Aaron,F,4307,2,2,1
2,Abbie,F,21513,2,2,1
3,Abbott,F,24,2,4,2
4,Abby,F,58236,2,3,1.5
5,Abel,F,124,2,2,1
6,Abigail,F,366323,3,3,1
7,Abraham,F,208,3,4,1.333333333
8,Ada,F,95817,2,1,0.5
9,Adah,F,3430,2,2,1
10,Adaline,F,9517,4,3,0.75
11,Adam,F,2038,2,2,1
12,Adda,F,946,2,2,1
13,Addie,F,44076,2,2,1
14,Addison,F,121435,3,4,1.333333333
15,Adela,F,12644,3,2,0.666666667
16,Adelaide,F,27139,3,3,1
17,Adele,F,39906,2,2,1
18,Adelia,F,5129,3,2,0.666666667
19,Adeline,F,58663,3,3,1
20,Adella,F,5513,3,3,1
21,Adelle,F,5217,2,3,1.5
22,Aden,F,576,2,2,1
23,Adina,F,6285,3,2,0.666666667
24,Adline,F,1177,3,3,1
25,Adolph,F,20,2,4,2
26,Adrian,F,15258,3,3,1
27,Adrienne,F,67005,3,4,1.333333333
28,Agatha,F,8695,3,3,1
29,Agnes,F,157960,2,3,1.5
30,Aileen,F,34853,2,2,1
31,Aimee,F,53589,2,1,0.5
32,Al,F,255,1,1,1
33,Alba,F,6155,2,2,1
34,Albert,F,2559,2,4,2
35,Alberta,F,70294,3,4,1.333333333
36,Albertina,F,1641,4,5,1.25
37,Albertine,F,2196,3,5,1.666666667
38,Albina,F,4953,3,3,1
39,Alda,F,4959,2,2,1
40,Alden,F,796,2,3,1.5
41,Alec,F,337,2,2,1
42,Alex,F,8942,2,2,1
43,Alexander,F,4445,4,5,1.25
44,Alford,F,5,2,4,2
45,Alfred,F,1292,2,4,2
46,Algie,F,361,2,2,1
47,Alice,F,563738,2,2,1
48,Alida,F,4464,3,2,0.666666667
49,Aline,F,14404,2,2,1
50,Alla,F,1157,2,2,1
51,Allan,F,253,2,3,1.5
52,Allen,F,1848,2,3,1.5
53,Allie,F,48492,2,2,1
54,Allison,F,298751,3,4,1.333333333
55,Alma,F,159366,2,2,1
56,Almeda,F,4402,3,3,1
57,Almer,F,322,2,3,1.5
58,Almira,F,1734,3,3,1
59,Almon,F,18,2,3,1.5
60,Alois,F,186,2,2,1
61,Alonza,F,6,3,3,1
62,Alonzo,F,154,3,3,1
63,Alpha,F,7126,2,3,1.5
64,Alphonso,F,27,3,5,1.666666667
65,Alta,F,28720,2,2,1
66,Altha,F,3365,2,3,1.5
67,Althea,F,16839,3,3,1
68,Alton,F,376,2,3,1.5
69,Alva,F,8679,2,2,1
70,Alvah,F,72,2,3,1.5
71,Alvena,F,1601,3,3,1
72,Alverta,F,2441,3,4,1.333333333
73,Alvia,F,388,2,2,1
74,Alvie,F,596,2,2,1
75,Alvin,F,1098,2,3,1.5
76,Alvina,F,10368,3,3,1
77,Alyce,F,17221,2,3,1.5
78,Alys,F,1224,2,3,1.5
79,Amalia,F,12718,3,2,0.666666667
80,Amanda,F,785766,3,3,1
81,Amber,F,370581,2,3,1.5
82,Amelia,F,191791,3,2,0.666666667
83,America,F,12705,4,3,0.75
84,Amie,F,21360,2,1,0.5
85,Amos,F,64,2,2,1
86,Amy,F,691753,2,2,1
87,Ana,F,101797,2,1,0.5
88,Anastasia,F,44543,4,4,1
89,Anderson,F,885,3,5,1.666666667
90,Andre,F,2205,2,3,1.5
91,Andres,F,444,2,4,2
92,Andrew,F,4900,2,4,2
93,Andy,F,1075,2,3,1.5
94,Angela,F,664960,3,3,1
95,Angelina,F,118965,4,4,1
96,Angeline,F,35681,3,4,1.333333333
97,Angie,F,62710,2,2,1
98,Anita,F,214013,3,2,0.666666667
99,Ann,F,468626,1,2,2
100,Anna,F,892785,2,2,1
101,Annabel,F,13911,3,4,1.333333333
102,Annabelle,F,59603,3,5,1.666666667
103,Anne,F,321614,1,2,2
104,Anner,F,1037,2,3,1.5
105,Annetta,F,8764,3,4,1.333333333
106,Annette,F,168054,2,4,2
107,Annie,F,350476,2,2,1
108,Annis,F,2914,2,3,1.5
109,Anson,F,5,2,3,1.5
110,Anthony,F,7069,3,5,1.666666667
111,Antoinette,F,78290,3,5,1.666666667
112,Anton,F,21,2,3,1.5
113,Antonia,F,32732,4,3,0.75
114,Antonio,F,1975,4,3,0.75
115,Ara,F,3151,2,1,0.5
116,Araminta,F,270,4,4,1
117,Archer,F,200,2,4,2
118,Archie,F,1259,2,3,1.5
119,Ardelia,F,1370,4,3,0.75
120,Ardella,F,3453,3,4,1.333333333
121,Arie,F,3317,2,1,0.5
122,Arizona,F,2716,4,3,0.75
123,Arlie,F,2222,2,2,1
124,Arlington,F,54,3,6,2
125,Armand,F,6,2,4,2
126,Arminta,F,776,3,4,1.333333333
127,Arnold,F,550,2,4,2
