"","ratio","year","M","F"
"1",1,1880,32974,34386
"2",2,1880,53097,52683
"3",1.5,1880,41680,42274
"4",1.33333333333333,1880,4465,4746
"5",0.5,1880,4288,4332
"6",0.75,1880,170,306
"7",0.666666666666667,1880,1384,1511
"8",1.25,1880,2438,2489
"9",1.66666666666667,1880,5269,5289
"10",2.5,1880,9497,9107
"11",3,1880,30406,30169
"12",5,1880,5847,5842
"13",4,1880,4558,4484
"14",2.66666666666667,1880,95,95
"15",2.33333333333333,1880,152,108
"16",0.333333333333333,1880,18,42
"17",0.6,1880,0,0
"18",1.75,1880,5,0
"19",3.5,1880,11,0
"20",1.2,1880,0,0
"21",0.8,1880,0,0
"22",1.6,1880,0,0
"23",0,1880,0,0
"24",1.4,1880,0,0
"25",6,1880,0,0
"26",2.25,1880,0,0
"27",1.16666666666667,1880,0,0
"28",3.33333333333333,1880,0,0
"29",1.8,1880,0,0
"30",0.833333333333333,1880,0,0
"31",0.857142857142857,1880,0,0
"32",4.5,1880,0,0
"33",2.75,1880,0,0
"34",7,1880,0,0
"35",1,1881,32651,34097
"36",2,1881,49390,49140
"37",1.5,1881,41219,41771
"38",1.33333333333333,1881,4326,4636
"39",0.5,1881,4440,4505
"40",0.75,1881,149,269
"41",0.666666666666667,1881,1373,1492
"42",1.25,1881,2325,2376
"43",1.66666666666667,1881,5158,5203
"44",2.5,1881,8938,8624
"45",3,1881,28198,28044
"46",5,1881,5183,5178
"47",4,1881,4130,4065
"48",2.66666666666667,1881,68,68
"49",2.33333333333333,1881,133,94
"50",0.333333333333333,1881,24,48
"51",0.6,1881,0,0
"52",1.75,1881,8,0
"53",3.5,1881,15,0
"54",1.2,1881,0,0
"55",0.8,1881,0,0
"56",1.6,1881,0,0
"57",0,1881,0,0
"58",1.4,1881,0,0
"59",6,1881,0,0
"60",2.25,1881,0,0
"61",1.16666666666667,1881,0,0
"62",3.33333333333333,1881,0,0
"63",1.8,1881,0,0
"64",0.833333333333333,1881,0,0
"65",0.857142857142857,1881,0,0
"66",4.5,1881,0,0
"67",2.75,1881,0,0
"68",7,1881,0,0
"69",1,1882,37921,39542
"70",2,1882,56268,55874
"71",1.5,1882,48096,48893
"72",1.33333333333333,1882,5038,5410
"73",0.5,1882,4979,5058
"74",0.75,1882,160,283
"75",0.666666666666667,1882,1546,1723
"76",1.25,1882,2724,2790
"77",1.66666666666667,1882,5831,5915
"78",2.5,1882,10584,10310
"79",3,1882,31628,31528
"80",5,1882,5734,5734
"81",4,1882,4685,4619
"82",2.66666666666667,1882,89,89
"83",2.33333333333333,1882,122,85
"84",0.333333333333333,1882,22,53
"85",0.6,1882,0,5
"86",1.75,1882,7,0
"87",3.5,1882,22,0
"88",1.2,1882,0,0
"89",0.8,1882,0,0
"90",1.6,1882,0,0
"91",0,1882,0,0
"92",1.4,1882,0,0
"93",6,1882,0,0
"94",2.25,1882,0,0
"95",1.16666666666667,1882,0,0
"96",3.33333333333333,1882,0,0
"97",1.8,1882,0,0
"98",0.833333333333333,1882,0,0
"99",0.857142857142857,1882,0,0
"100",4.5,1882,0,0
"101",2.75,1882,0,0
"102",7,1882,0,0
"103",1,1883,38656,40453
"104",2,1883,52936,52710
"105",1.5,1883,48122,49105
"106",1.33333333333333,1883,5080,5457
"107",0.5,1883,5190,5256
"108",0.75,1883,151,266
"109",0.666666666666667,1883,1625,1806
"110",1.25,1883,2751,2834
"111",1.66666666666667,1883,6076,6200
"112",2.5,1883,10247,10046
"113",3,1883,29521,29479
"114",5,1883,5527,5517
"115",4,1883,4477,4425
"116",2.66666666666667,1883,89,89
"117",2.33333333333333,1883,109,84
"118",0.333333333333333,1883,23,55
"119",0.6,1883,0,0
"120",1.75,1883,7,6
"121",3.5,1883,35,0
"122",1.2,1883,0,0
"123",0.8,1883,0,0
"124",1.6,1883,0,0
"125",0,1883,0,0
"126",1.4,1883,0,0
"127",6,1883,0,0
"128",2.25,1883,0,0
"129",1.16666666666667,1883,0,0
"130",3.33333333333333,1883,0,0
"131",1.8,1883,0,0
"132",0.833333333333333,1883,0,0
"133",0.857142857142857,1883,0,0
"134",4.5,1883,0,0
"135",2.75,1883,0,0
"136",7,1883,0,0
"137",1,1884,43754,45988
"138",2,1884,58910,58591
"139",1.5,1884,54668,55981
"140",1.33333333333333,1884,5798,6267
"141",0.5,1884,5869,5970
"142",0.75,1884,171,311
"143",0.666666666666667,1884,1828,2040
"144",1.25,1884,3154,3243
"145",1.66666666666667,1884,6784,6946
"146",2.5,1884,11603,11377
"147",3,1884,32493,32486
"148",5,1884,5626,5618
"149",4,1884,4931,4852
"150",2.66666666666667,1884,68,68
"151",2.33333333333333,1884,106,67
"152",0.333333333333333,1884,22,67
"153",0.6,1884,0,0
"154",1.75,1884,9,0
"155",3.5,1884,12,0
"156",1.2,1884,0,0
"157",0.8,1884,0,0
"158",1.6,1884,0,0
"159",0,1884,0,0
"160",1.4,1884,0,0
"161",6,1884,0,0
"162",2.25,1884,0,0
"163",1.16666666666667,1884,0,0
"164",3.33333333333333,1884,0,0
"165",1.8,1884,0,0
"166",0.833333333333333,1884,0,0
"167",0.857142857142857,1884,0,0
"168",4.5,1884,0,0
"169",2.75,1884,0,0
"170",7,1884,0,0
"171",1,1885,44873,47284
"172",2,1885,56344,56378
"173",1.5,1885,54793,56315
"174",1.33333333333333,1885,5985,6388
"175",0.5,1885,5867,5990
"176",0.75,1885,205,359
"177",0.666666666666667,1885,1843,2081
"178",1.25,1885,3117,3211
"179",1.66666666666667,1885,6767,6958
"180",2.5,1885,11648,11486
"181",3,1885,30855,30989
"182",5,1885,5467,5458
"183",4,1885,4717,4659
"184",2.66666666666667,1885,71,71
"185",2.33333333333333,1885,128,96
"186",0.333333333333333,1885,23,63
"187",0.6,1885,0,0
"188",1.75,1885,15,0
"189",3.5,1885,22,6
"190",1.2,1885,0,0
"191",0.8,1885,0,0
"192",1.6,1885,0,0
"193",0,1885,0,0
"194",1.4,1885,0,0
"195",6,1885,0,0
"196",2.25,1885,0,0
"197",1.16666666666667,1885,0,0
"198",3.33333333333333,1885,0,0
"199",1.8,1885,0,0
"200",0.833333333333333,1885,0,0
"201",0.857142857142857,1885,0,0
"202",4.5,1885,0,0
